2025/09/11 12:53:25 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:53:33 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:53:41 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:53:49 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:53:57 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:54:05 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:54:14 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:54:22 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:54:30 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:54:38 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:54:46 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:54:55 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:55:03 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:55:11 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:55:19 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:55:28 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:55:36 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:55:44 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:55:52 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:56:00 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:56:08 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:56:16 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
